periode_data,wilayah,lintang_utara,lintang_selatan,bujur_barat,bujur_timur
2023,Kota Adm. Jakarta Utara,-6.074112,-6.183112,106.711462,106.972581
2023,Kab. Adm. Kep. Seribu,-5.202416,-6.040184,106.390448,106.847793
2023,Kota Adm. Jakarta Pusat,-6.135322,-6.229305,106.791862,106.881125
2023,Kota Adm. Jakarta Barat,-6.095579,-6.225213,106.685805,106.82831
2023,Kota Adm. Jakarta Selatan,-6.202699,-6.364743,106.736782,106.866842
2023,Kota Adm. Jakarta Timur,-6.152824,-6.372626,106.838274,106.973391
2023,Kota Tangerang Selatan,-6.225,-6.375,106.6333,106.7833
2023,Kota Depok,-6.3167,-6.4667,106.7167,106.9167
2023,Kota Bekasi,-6.1683,-6.5017,106.8078,107.4581
2023,Kota Bogor,-6.3833,-6.5,106.7,106.9
2023,Kab. Bogor,-6.3167,-6.7333,106.5333,107.0333
2023,Kab. Bekasi,-6.05,-6.5,106.9,107.5
2022,Kab. Adm. Kep. Seribu,-5.202416,-6.040184,106.390448,106.847793
2022,Kota Adm. Jakarta Pusat,-6.135322,-6.229305,106.791862,106.881125
2022,Kota Adm. Jakarta Utara,-6.074112,-6.183112,106.711462,106.972581
2022,Kota Adm. Jakarta Barat,-6.095579,-6.225213,106.685805,106.82831
2022,Kota Adm. Jakarta Selatan,-6.202699,-6.364743,106.736782,106.866842
2022,Kota Adm. Jakarta Timur,-6.152824,-6.372626,106.838274,106.973391
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
